pncp,valor_global,duracao_dias,categoria,forn_capital_social,forn_idade_anos,forn_vol_nacional,forn_n_contratos_nac,forn_razao_capital_volume,forn_crescimento_recente,prob_heuristica_ex_ante,prob_heuristica_observada,imp_heuristica,label_desfecho_adverso
00531640000128-2-000035/2026,40000.0,364,Serviços,,,,,,,2,2,2,0
00531640000128-2-000034/2026,3218350.0,1095,Serviços,,,,,,,2,2,5,0
00531640000128-2-000033/2026,25000.0,364,Serviços,,,,,,,2,2,2,0
00531640000128-2-000031/2026,1741032.35,364,Mão de Obra,,,,,,,2,2,5,0
00531640000128-2-000032/2026,21812090.5,730,Mão de Obra,24000000,11.6,93524400.19,4,0.2566,,1,1,5,0
00531640000128-2-000030/2026,736484.27,730,Serviços,,,,,,,2,2,4,0
00531640000128-2-000029/2026,213000.0,364,Serviços,,,,,,,2,2,4,0
00531640000128-2-000028/2026,245250.0,364,Serviços,,,,,,,2,2,4,0
00531640000128-2-000027/2026,21600.0,364,Compras,,,,,,,2,2,2,0
00531640000128-2-000026/2026,959890.0,1947,Compras,,,,,,,2,2,4,0
00531640000128-2-000036/2026,28091.88,182,Compras,,,,,,,1,1,2,0
00531640000128-2-000025/2026,449997.6,456,Compras,,,,,,,2,2,4,0
00531640000128-2-000024/2026,464100.0,1825,Compras,,,,,,,2,2,4,0
00531640000128-2-000023/2026,462394.0,456,Compras,,,,,,,2,2,4,0
00531640000128-2-000021/2026,602240.0,3044,Compras,,,,,,,2,2,4,0
00531640000128-2-000022/2026,567000.0,1825,Compras,,,,,,,2,2,4,0
00531640000128-2-000020/2026,5150.0,1825,Compras,,,,,,,2,2,1,0
00531640000128-2-000019/2026,956057.41,364,Serviços,,,,,,,2,2,4,0
00531640000128-2-000015/2026,424.45,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000016/2026,11360.0,1095,Compras,,,,,,,2,2,1,0
00531640000128-2-000017/2026,3559.4,1095,Compras,,,,,,,2,2,1,0
00531640000128-2-000013/2026,36920.49,1095,Compras,,,,,,,2,2,2,0
00531640000128-2-000014/2026,94530.0,234,Serviços,,,,,,,1,1,3,0
00531640000128-2-000012/2026,10895.0,364,Serviços,,,,,,,2,2,1,0
00531640000128-2-000011/2026,70000.0,364,Compras,,,,,,,2,2,3,0
00531640000128-2-000010/2026,33700.0,364,Compras,,,,,,,2,2,2,0
00531640000128-2-000018/2026,11418446.6,1825,Serviços,3750000,12.0,74176570.37,25,0.0506,1.17,1,1,5,0
00531640000128-2-000008/2026,139560.0,364,Compras,,,,,,,2,2,3,0
00531640000128-2-000009/2026,52728.0,364,Compras,,,,,,,2,2,3,0
00531640000128-2-000006/2026,23960.0,364,Compras,,,,,,,2,2,2,0
00531640000128-2-000007/2026,222715.0,364,Compras,,,,,,,2,2,4,0
00531640000128-2-000004/2026,1595.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000005/2026,67455.0,364,Compras,,,,,,,2,2,3,0
00531640000128-2-000003/2026,17964.0,90,Compras,,,,,,,1,1,2,0
00531640000128-2-000002/2026,5376.0,58,Serviços,,,,,,,1,1,1,0
00531640000128-2-000001/2026,203102.84,150,Compras,,,,,,,1,1,4,0
00531640000128-2-000104/2025,2022.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000103/2025,8765.3,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000102/2025,56772.0,90,Compras,,,,,,,1,1,3,0
00531640000128-2-000100/2025,419760.0,364,Serviços,,,,,,,2,2,4,0
00531640000128-2-000101/2025,1231650.0,367,Serviços,,,,,,,2,2,5,0
00531640000128-2-000106/2025,137000.0,242,Serviços,,,,,,,1,1,3,0
00531640000128-2-000092/2025,112000.0,1825,Compras,,,,,,,2,2,3,0
00531640000128-2-000079/2025,444295.6,150,Compras,,,,,,,1,1,4,0
00531640000128-2-000080/2025,50200.0,66,Serviços,,,,,,,1,1,3,0
00531640000128-2-000088/2025,2429722.0,1825,Compras,,,,,,,2,2,5,0
00531640000128-2-000079/2025,444295.6,150,Compras,,,,,,,1,1,4,0
00531640000128-2-000080/2025,50200.0,66,Serviços,,,,,,,1,1,3,0
00531640000128-2-000105/2025,587449438.66,1825,Serviços,0,0.6,587449438.66,1,0.0,,2,3,5,0
00531640000128-2-000077/2025,40500.0,729,Serviços,,,,,,,2,2,2,0
00531640000128-2-000077/2025,40500.0,729,Serviços,,,,,,,2,2,2,0
00531640000128-2-000086/2025,15841.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000089/2025,23640.0,364,Compras,,,,,,,2,2,2,0
00531640000128-2-000081/2025,1100.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000084/2025,600.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000085/2025,397.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000087/2025,424.45,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000094/2025,33531.5,364,Compras,,,,,,,2,2,2,0
00531640000128-2-000096/2025,34220.0,364,Compras,,,,,,,2,2,2,0
00531640000128-2-000082/2025,11840.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000083/2025,18895.4,364,Compras,,,,,,,2,2,2,0
00531640000128-2-000095/2025,11596.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000091/2025,10000.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000098/2025,12491.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000076/2025,94975.0,364,Compras,,,,,,,2,2,3,0
00531640000128-2-000093/2025,8760.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000074/2025,2187592.45,973,Compras,,,,,,,2,2,5,0
00531640000128-2-000075/2025,134169.24,157,Serviços,,,,,,,1,3,3,1
00531640000128-2-000090/2025,4838.0,364,Compras,,,,,,,2,2,1,0
00531640000128-2-000071/2025,47000.0,364,Compras,,,,,,,2,2,2,0
