pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_termos_12m,rescindido_12m,acrescimo_12m,prazo_12m,label_adverso_12m,label_v1_sem_horizonte
00531640000128-2-000036/2023,STF,2023-11-27,53920.47,365,Serviços,53829864,6.81,DEMAIS,,1,0,998.319636,4,0,0,0.0,0,0,0
00531640000128-2-000042/2023,STF,2023-12-06,421498.6,365,Compras,100000,22.19,DEMAIS,0,1,0,0.237249,1,0,0,0.0,0,0,0
00531640000128-2-000033/2023,STF,2023-11-23,2358850.0,365,Compras,6709980000,62.67,DEMAIS,,1,0,2844.598003,11,1,0,0.1818,0,0,0
00531640000128-2-000003/2023,STF,2023-07-22,1889515.2,730,Cessão,1786196100,56.06,DEMAIS,,1,0,945.319784,59,2,0,0.0675,0,0,0
00531640000128-2-000007/2023,STF,2023-04-25,36300.0,395,Compras,5000000,19.34,DEMAIS,0,1,0,137.741047,6,0,0,0.0,0,0,0
00531640000128-2-000008/2023,STF,2023-03-30,33600.0,365,Serviços,0,56.58,DEMAIS,,1,0,,10,0,0,0.0,0,0,0
00531640000128-2-000009/2023,STF,2023-07-04,1144.85,1460,Serviços,0,51.8,DEMAIS,,1,0,,20,2,0,1.0784,0,1,1
00531640000128-2-000026/2023,STF,2023-10-26,0,365,Cessão,600000,2.78,EMPRESA DE PEQUENO PORTE,1,1,0,,3,0,0,0,0,0,0
00531640000128-2-000038/2023,STF,2023-12-01,7290.0,1095,Compras,2530000,51.36,DEMAIS,,1,0,347.050754,31,1,0,1.0,0,1,1
00531640000128-2-000040/2023,STF,2023-11-29,6452.3,457,Compras,210396200,25.46,DEMAIS,,1,0,32607.938255,3,0,0,0.0,0,0,0
00531640000128-2-000044/2023,STF,2023-12-04,240900.0,1157,Compras,270000,12.77,MICRO EMPRESA,1,1,0,1.120797,2,0,0,0.0,0,0,0
00531640000128-2-000012/2023,STF,2023-07-04,19500.0,730,Serviços,30000,10.95,EMPRESA DE PEQUENO PORTE,0,1,0,1.538462,3,0,0,0.0,0,0,0
00531640000128-2-000014/2023,STF,2023-09-13,0,365,Serviços,0,45.27,DEMAIS,,1,0,,1,0,0,0,0,0,0
00531640000128-2-000024/2023,STF,2023-10-24,254035.0,365,Cessão,110000,3.61,MICRO EMPRESA,1,1,0,0.433011,7,0,0,0.0,0,0,0
00531640000128-2-000052/2023,STF,2023-12-29,30000000.0,1826,Cessão,105300000000,52.9,DEMAIS,0,1,0,3510.0,20,0,0,0.0,0,0,0
00531640000128-2-000054/2023,STF,2023-12-22,36652.03,730,Cessão,10000,2.89,DEMAIS,,1,0,0.272836,4,2,0,1.0502,0,1,1
00531640000128-2-000008/2024,STF,2024-02-23,3579363.21,1123,Serviços,4346000,25.71,DEMAIS,,1,0,1.214182,1,0,0,0.0,0,0,0
00531640000128-2-000012/2024,STF,2024-03-08,16000.0,364,Serviços,70000,12.11,MICRO EMPRESA,1,1,0,4.375,44,0,0,0.0,0,0,0
00531640000128-2-000013/2024,STF,2024-02-21,28800.8,156,Compras,500000,6.67,MICRO EMPRESA,0,1,0,17.360629,1,1,1,0.0,0,1,1
00531640000128-2-000015/2024,STF,2024-02-16,11996746.92,1095,Serviços,5000000,26.76,DEMAIS,0,1,0,0.41678,1,0,0,0.0,0,0,0
00531640000128-2-000016/2024,STF,2024-02-27,93600.0,472,Serviços,100000,27.42,MICRO EMPRESA,1,1,0,1.068376,2,1,0,0.04,0,0,1
00531640000128-2-000019/2024,STF,2024-03-15,20238.84,1094,Serviços,2855839700,29.0,DEMAIS,,1,0,141106.886561,4,1,0,1.0,0,1,1
00531640000128-2-000021/2024,STF,2024-03-01,3155589.72,457,Serviços,0,15.45,DEMAIS,,1,0,,2,3,0,27.9036,0,1,1
00531640000128-2-000022/2024,STF,2024-05-02,29900.0,1094,Serviços,362222500,50.67,DEMAIS,,1,0,12114.464883,38,1,0,1.0,0,1,1
00531640000128-2-000024/2024,STF,2024-05-09,23758.61,1094,Compras,3423447.2,30.26,DEMAIS,,1,0,144.092908,203,1,0,1.0,0,1,1
